dataset,variant,image_id,runtime_s
BSDS500_val,G_fmin008_ks5,102061,0.845602
BSDS500_val,G_fmin008_ks5,103070,0.851970
BSDS500_val,G_fmin008_ks5,105025,0.856104
BSDS500_val,G_fmin008_ks5,106024,0.839545
BSDS500_val,G_fmin008_ks5,108005,0.879511
BSDS500_val,G_fmin008_ks5,108070,0.875355
BSDS500_val,G_fmin008_ks5,108082,0.913996
BSDS500_val,G_fmin008_ks5,109053,0.883190
BSDS500_val,G_fmin008_ks5,119082,0.852307
BSDS500_val,G_fmin008_ks5,12084,0.865311
BSDS500_val,G_fmin008_ks5,123074,0.854802
BSDS500_val,G_fmin008_ks5,126007,0.866910
BSDS500_val,G_fmin008_ks5,130026,1.621656
BSDS500_val,G_fmin008_ks5,134035,2.184677
BSDS500_val,G_fmin008_ks5,14037,2.039763
BSDS500_val,G_fmin008_ks5,143090,2.179010
BSDS500_val,G_fmin008_ks5,145086,2.163067
BSDS500_val,G_fmin008_ks5,147091,2.150557
BSDS500_val,G_fmin008_ks5,148026,2.024423
BSDS500_val,G_fmin008_ks5,148089,2.142914
BSDS500_val,G_fmin008_ks5,156065,2.157684
BSDS500_val,G_fmin008_ks5,157055,2.065992
BSDS500_val,G_fmin008_ks5,159008,2.120993
BSDS500_val,G_fmin008_ks5,160068,2.117004
BSDS500_val,G_fmin008_ks5,16077,1.990278
BSDS500_val,G_fmin008_ks5,163085,1.982348
BSDS500_val,G_fmin008_ks5,167062,1.965640
BSDS500_val,G_fmin008_ks5,167083,2.020400
BSDS500_val,G_fmin008_ks5,170057,1.889524
BSDS500_val,G_fmin008_ks5,175032,2.012174
BSDS500_val,G_fmin008_ks5,175043,2.015294
BSDS500_val,G_fmin008_ks5,182053,2.027093
BSDS500_val,G_fmin008_ks5,189080,2.029719
BSDS500_val,G_fmin008_ks5,19021,2.064688
BSDS500_val,G_fmin008_ks5,196073,2.006425
BSDS500_val,G_fmin008_ks5,197017,1.972487
BSDS500_val,G_fmin008_ks5,208001,1.863984
BSDS500_val,G_fmin008_ks5,210088,1.961757
BSDS500_val,G_fmin008_ks5,21077,2.000655
BSDS500_val,G_fmin008_ks5,216081,1.988398
BSDS500_val,G_fmin008_ks5,219090,2.027276
BSDS500_val,G_fmin008_ks5,220075,2.141146
BSDS500_val,G_fmin008_ks5,223061,2.179830
BSDS500_val,G_fmin008_ks5,227092,2.186742
BSDS500_val,G_fmin008_ks5,229036,2.106241
BSDS500_val,G_fmin008_ks5,236037,2.207143
BSDS500_val,G_fmin008_ks5,24077,2.151498
BSDS500_val,G_fmin008_ks5,241004,1.978290
BSDS500_val,G_fmin008_ks5,241048,2.033412
BSDS500_val,G_fmin008_ks5,253027,1.946110
BSDS500_val,G_fmin008_ks5,253055,1.987526
BSDS500_val,G_fmin008_ks5,260058,1.911529
BSDS500_val,G_fmin008_ks5,271035,1.941305
BSDS500_val,G_fmin008_ks5,285079,2.016069
BSDS500_val,G_fmin008_ks5,291000,2.009354
BSDS500_val,G_fmin008_ks5,295087,2.060985
BSDS500_val,G_fmin008_ks5,296007,2.008898
BSDS500_val,G_fmin008_ks5,296059,1.954290
BSDS500_val,G_fmin008_ks5,299086,2.047862
BSDS500_val,G_fmin008_ks5,300091,1.950789
BSDS500_val,G_fmin008_ks5,302008,2.047974
